Syscalls are not invoked using the SVC-instruction. Rather, it uses an undefined
instruction: 0xE7F0XXF0 where XX is the syscall number.

There are 0x93 syscalls on older firm, and 0x88 syscalls on latest firm.

+--------+--------+-------+-------------------------------------+-----------
| 5.3    | 5.5    | Args  | Name                                | Notes
|     86 |     7A |     0 | GetSystemMode                       | 10=Test, 20=Dev, Else=Prod
|     87 |     7B |     3 | GetOpenHandles                      |
|     88 |     7C |     1 | SetMainTitleSDKVersion              | Only MCP.
|     89 |     7D |     0 | GetMainTitleSDKVersion              |
|     8A |     7E |     2 | WeirdValidateRange                  |
|     8B |     7F |     4 | SetProtViolQueue                    | Only TEST,
|     8C |     80 |     2 | UnsetProtViolQueue                  | Only TEST.
|     8D |     81 |     0 | Stubbed, returns zero.              |
|     8E |     82 |     2 | GetResourceViolations               |
|     8F |     83 |     1 | RemoveDevice?                       |
|     90 |     84 |     1 | SetGlobalDeviceLock                 | Only MCP. This disables CreateDevice and syscall 0x2E... (bool onoff)
|     91 |     85 |     3 | GetProcessPendingResourceRequests   |
|     92 |     86 |     0 | SetupMEM1ProtectionUnit             | Only MCP.
|     93 |     87 |     0 | ??                                  | Interesting!!!
+--------+--------|-------+-------------------------------------+-----------


== Syscall 0xC: CreateMessageQueue ==
Inputs:
   r3: u32* entries_ptr
   r4: u32  num_entries

Outputs:
   r3: u32 msg_queue_id (actually: index into msgqueue-table)
       Negative on failure.


== Syscall 0xD: DestroyMessageQueue ==
Inputs:
   r3: u32 msg_queue_id


== Syscall 0x11: RegisterEventHandler ==
Inputs:
   r3: u32 event_id
   r4: u32 msg_queue_id
   r5: u32 ?

Outputs:
   r3: Non-zero on failure.

This is used to listen to interrupts.


== Syscall 0x12: UnregisterEventHandler ==
Inputs:
   r3: u32 event_id

Outputs:
   r3: Non-zero on failure.


== Syscall 0x23: CreateHeap ==
Inputs:
   r0: base_addr
   r1: size

Output:
   r0: Heap id, negative if error

Errors:
   -33: Not aligned to 32-bytes
   -5:  Heap-table full


== Syscall 0x24: CreateLocalProcessHeap ==
This one creates CreateHeap() internally, and then adds it to the
process-heap-table. It also sets bit0 of heap->u32_0x20.

Inputs:
   r0: base_addr
   r1: size

Output:
   r0: 0 on success, negative if error

Errors:
   -2:  Local process heap already exists.


== Syscall 0x25: CreateCrossProcessHeap ==
This one creates CreateHeap() internally with a ptr allocated from heap-id 1,
and then adds it to the process-heap-table. It also sets bit1 of heap->u32_0x20.

Inputs:
   r0: size

Output:
   r0: 0 on success, negative if error

Errors:
   -30: Shared heap is full.
   -2:  Cross process heap already exists.


== Syscall 0x66: ContinueStartup ==

Can only be called once, and only by pid == 2. This one tells an early kernel
thread to continue startup. This one is called by BSP process.


== Syscall 0x22: ReadOtp ==

This reads from the Otp, containing all the keys and stuff. ;)

Inputs:
   r3: u32 otp_offset
   r4: void* out_ptr
   r5: u32 len

== Syscall 0x67: ConvertVirtToPhys ==

Inputs:
   r0: Virtaddr
Outputs:
   r0: Physaddr, or zero if error.

Translates using the MMU tables. If the phys-addr is 0xFFFF0000+, it is moved to
0x0D400000. If the address is between 0xFFFE0000+, it is moved to 0x0D410000.


== Syscall 0x84: SetPowerPCAllowedMEM2Ranges ==
Input;
  r0: Mask, bit0: update range0, bit1: update range1
  r1: Start-addr for range0
  r2: Size for range0
  r3: Start-addr for range1
  sp: Size for range1

This one sets the two allowed ranges for PowerPC MEM2 accesses. Range0 is
usually 0x10000000-0x14000000, and range1 0x28000000-0x90000000.


== Syscall 0x8A: WeirdValidateRange ==

Inputs:
  r0: Virtaddr
  r1: Size

Output:
  0 if vaild, -1 otherwise.

It returns -1 if:
    * (virtaddr+size) overflows.
    * virtaddr not mapped in mmu-table.
    * (virtaddr+size) is not within section/page described in pagetable.
    * Domain bits are set to 0.
    * AP bits are not 0b11 (user _and_ kernel read/write).

If all checks pass, it returns 0.
